Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1770.5
FDW14,OUT017,1427.75
NCN55,OUT010,1863.75
FDQ58,OUT017,2621.75
FDY38,OUT027,5232.75
FDH56,OUT046,1871.25
FDL48,OUT018,518.25
FDC48,OUT027,2764.75
FDN33,OUT045,1440.5
FDA36,OUT017,3045.75
FDT44,OUT017,1921.75
FDQ56,OUT045,1392.5
NCC54,OUT019,1677.75
FDU11,OUT049,2090.5
DRL59,OUT013,733.25
FDM24,OUT049,2441.5
FDI57,OUT045,3422.5
DRC12,OUT018,2542.25
NCM42,OUT027,3315.75
FDA46,OUT010,1096.0
FDA31,OUT013,2824.25
NCJ31,OUT035,3824.5
FDG52,OUT046,710.25
NCL19,OUT019,461.75
FDS10,OUT035,3023.5
FDX22,OUT010,1461.75
NCF19,OUT035,790.5
NCE06,OUT046,2549.0
DRC27,OUT046,3590.25
FDE21,OUT035,2193.5
NCR42,OUT019,1328.25
FDX51,OUT018,2906.25
NCR06,OUT018,494.25
FDU31,OUT027,5000.75
FDU59,OUT017,2749.75
FDR03,OUT027,4792.75
FDS49,OUT027,2776.75
FDD48,OUT010,58.75
NCF18,OUT017,2973.75
NCD43,OUT027,3022.75
NCD54,OUT018,1936.25
FDY19,OUT010,126.75
NCY54,OUT017,2961.75
NCL19,OUT018,2150.25
FDP23,OUT010,1498.25
FDC26,OUT013,1863.25
FDR14,OUT010,1088.25
NCS41,OUT035,2950.5
FDF41,OUT035,3987.5
FDU34,OUT046,2011.5
DRH11,OUT046,794.5
FDM03,OUT013,1658.25
FDS31,OUT017,3061.75
FDJ20,OUT017,2079.75
FDV44,OUT027,4558.75
FDG02,OUT049,3074.5
FDA09,OUT013,2915.25
FDT04,OUT013,551.25
FDL58,OUT019,2175.75
FDE52,OUT045,1498.5
FDW12,OUT035,2434.5
FDL51,OUT017,3391.75
NCY42,OUT027,3835.75
FDR07,OUT017,1733.75
FDN40,OUT045,2260.5
FDB35,OUT027,3001.75
FDA22,OUT017,2703.75
NCL06,OUT046,4285.25
FDI35,OUT013,3049.25
NCW42,OUT045,3329.5
NCX06,OUT049,2939.0
FDC37,OUT027,3184.75
FDZ14,OUT018,1744.25
DRG49,OUT049,4052.5
NCG06,OUT045,3916.5
DRC36,OUT045,2493.5
FDV21,OUT019,61.75
FDB53,OUT046,2367.0
DRP47,OUT019,2052.75
FDA14,OUT013,2264.25
DRC24,OUT035,2346.5
FDW21,OUT018,1346.25
NCH29,OUT046,1252.25
FDU58,OUT013,3106.25
FDY27,OUT017,2985.75
FDV56,OUT035,2038.5
FDT59,OUT046,3567.25
FDB23,OUT046,3670.75
FDR49,OUT045,752.5
FDB03,OUT010,1886.5
FDN39,OUT045,2560.5
FDX02,OUT027,4911.75
FDQ16,OUT027,3198.75
FDU35,OUT018,1382.25
NCT29,OUT013,1861.25
FDZ27,OUT046,812.0
FDN57,OUT017,2273.75
FDA03,OUT018,2016.25
FDZ36,OUT045,2986.5
NCU05,OUT013,1585.25
FDT39,OUT018,2108.25
FDK60,OUT017,1737.75
FDZ25,OUT017,2949.75
FDG12,OUT046,1946.5
DRB01,OUT019,849.75
NCC43,OUT027,5231.75
FDX13,OUT019,2051.75
FDM22,OUT049,928.5
FDJ03,OUT027,2173.75
FDU14,OUT018,3628.25
FDB33,OUT010,716.75
FDP27,OUT046,2966.25
FDO38,OUT010,715.0
FDE28,OUT027,5227.75
FDO27,OUT035,1651.5
DRL23,OUT027,2988.75
FDS28,OUT046,934.5
FDX24,OUT013,1556.25
FDZ02,OUT035,1760.5
FDL46,OUT045,1720.5
FDS60,OUT027,4278.75
NCO06,OUT017,723.75
FDO16,OUT035,1437.5
FDC60,OUT049,1536.0
FDA48,OUT018,3170.25
FDZ36,OUT027,4504.75
FDK27,OUT045,1929.5
FDW23,OUT018,310.25
FDM14,OUT018,1454.25
FDM14,OUT013,1729.25
FDW60,OUT018,2536.25
FDE21,OUT013,2082.25
NCM42,OUT035,2022.5
FDY59,OUT010,271.25
DRI49,OUT049,1535.5
FDT28,OUT019,351.75
FDQ22,OUT018,462.25
FDR60,OUT049,1345.5
FDC50,OUT019,387.25
FDV24,OUT013,2477.25
DRF48,OUT010,1058.5
